id,Title,Description,Difficulty,Category,Poster
0,Backe einen dreistöckigen Kuchen mit der backfesten Puddingcreme von Dr. Oetker,"Schnell und gelingsicher in der Zubereitung ist die Dr. Oetker Backfeste Puddingcreme mit Vanillegeschmack. Sie ist ideal geeignet zur Füllung von Bienenstich, Obsttorten, Butterkuchen und anderen Gebäcken.",4,0,171
1,Bereite eine Dessertcreme mit Kräutern zu!,"Basilikum, Petersilie oder Majoran - egal - hauptsache Kräuter! Aber keine Minze, das wäre ja zu leicht.",2,1,131
2,Backe einen Schokokuchen mit weniger als 200 Kalorien, ,3,0,122
3,Zaubere ein Dessert aus Gurken!,"Andere Zutaten sind natürlich auch erlaubt, aber die Gurke sollte schon der Star sein",4,1,72
4,Backe vegane Muffins mit einer besonderen Zutat: Ingwer, ,3,0,170
5,Ein 3-Gänge-Menü mit nur saisonalem und regionalem Gemüse und Obst,"Erdbeeren zu Weihnachten, Tomaten im Januar - heutzutage sind fast alle Obst- und Gemüsesorten das ganze Jahr über erhältlich. Was bei uns im Winter nicht wächst wird entweder in beheizten Gewächshäusern produziert oder von weit her importiert. Beides geschieht zu Lasten des Klimas und ist völlig unnötig. Ich fordere euch daher heraus, ein nachhaltiges 3-Gänge-Menü zu zaubern!" ,2,2,37
6,Fancy Schmancy unter 5€,"Ihr kennt ja Michelin Restaurants, in denen das Essen schon so künstlerisch ist, dass man es gar nicht essen möchte. Versucht doch mal das nachzumachen, aber mit einem Budget von nur 5€",5,2,56
7,Kohlrabi Kuchen,"Backt einen Kuchen, der mindestens einen ganzen Kohlrabi enthält",2,0,160
8,Backt eine Torte mit exotischen Früchten,"Je exotischer und bunter desto besser",1,0,124
9,Fusion Cuisine: Wintersuppe mit typischen Zutaten von drei verschiedenen Kontinenten,"zum Beispiel mit Mala Chili aus China, Kochbananen aus Südamerika und Injera aus Äthiopien ... bin schon gespannt",3,2,83
10,Gesunde Müsliriegel aus 100 Prozent Obst, ,3,0,191
11,title...,...,3,0,162
12,title...,...,2,0,136
13,title...,...,3,0,192
14,title...,...,1,0,159
15,title...,...,2,0,86
16,title...,...,1,0,194
17,title...,...,1,0,189
18,title...,...,2,0,28
19,title...,...,3,0,176
20,title...,...,1,0,135
21,title...,...,3,0,170
22,title...,...,2,0,93
23,title...,...,3,0,188
24,title...,...,3,0,26
25,title...,...,1,0,183
26,title...,...,1,0,126
27,title...,...,1,0,2
28,title...,...,2,0,184
29,title...,...,3,0,71
30,title...,...,3,0,85
31,title...,...,3,0,52
32,title...,...,3,0,114
33,title...,...,3,0,142
34,title...,...,1,0,164
35,title...,...,2,0,189
36,title...,...,3,0,38
37,title...,...,2,0,50
38,title...,...,3,0,135
39,title...,...,3,0,156
40,title...,...,1,1,145
41,title...,...,3,1,132
42,title...,...,3,1,160
43,title...,...,1,1,132
44,title...,...,1,1,129
45,title...,...,2,1,160
46,Backe einen Kuchen mit mindestens 10 Obstsorten,Obst ist das beste Gemüse - Defür stehe ich mit meinem Namen. Ich empfehle Ananas und Himbeeren,3,1,77
47,title...,...,3,1,22
48,title...,...,3,1,42
49,title...,...,2,1,81
50,title...,...,2,1,135
51,title...,...,2,1,60
52,title...,...,2,1,151
53,title...,...,3,1,66
54,title...,...,1,1,10
55,title...,...,1,1,95
56,title...,...,1,1,89
57,title...,...,3,1,71
58,title...,...,2,1,13
59,title...,...,2,1,76
60,title...,...,5,1,153
61,title...,...,4,1,14
62,title...,...,4,1,19
63,title...,...,4,1,36
64,title...,...,5,1,28
65,title...,...,4,1,162
66,title...,...,5,1,15
67,title...,...,5,1,102
68,title...,...,4,1,191
69,title...,...,5,1,57
70,title...,...,5,1,73
71,title...,...,4,1,139
72,title...,...,4,1,192
73,title...,...,4,1,107
74,title...,...,5,1,195
75,title...,...,5,1,181
76,title...,...,4,1,12
77,title...,...,5,1,106
78,title...,...,4,1,36
79,title...,...,4,1,111
80,title...,...,5,2,4
81,title...,...,4,2,172
82,title...,...,4,2,57
83,title...,...,4,2,81
84,title...,...,4,2,57
85,title...,...,5,2,123
86,title...,...,5,2,29
87,title...,...,4,2,148
88,title...,...,5,2,162
89,title...,...,4,2,97
90,title...,...,5,2,192
91,title...,...,4,2,149
92,title...,...,5,2,13
93,title...,...,5,2,74
94,title...,...,5,2,183
95,title...,...,4,2,107
96,title...,...,5,2,180
97,title...,...,5,2,152
98,title...,...,4,2,149
99,title...,...,4,2,30
100,title...,...,4,2,99
101,title...,...,5,2,184
102,title...,...,5,2,167
103,title...,...,5,2,24
104,title...,...,5,2,60
105,title...,...,5,2,13
106,title...,...,5,2,159
107,title...,...,4,2,69
108,title...,...,4,2,169
109,title...,...,4,2,35
110,title...,...,4,2,145
111,title...,...,4,2,108
112,title...,...,4,2,91
113,title...,...,4,2,129
114,title...,...,4,2,84
115,title...,...,4,2,173
116,title...,...,5,2,16
117,title...,...,4,2,167
118,title...,...,5,2,117
119,title...,...,4,2,194
